price,address,bds,ba,sqft,image
"$845,000","7606 Rockaway Blvd, Jamaica, NY 11421",4,3,"2,320",https://photos.zillowstatic.com/p_e/ISrl11729q8b8s1000000000.jpg
"$699,000","235 Skillman St #2, Brooklyn, NY 11205",2,1,900,https://photos.zillowstatic.com/p_e/ISfsu2pj53lwmb0000000000.jpg
"$550,000","11645 146th St, Jamaica, NY 11436",3,2,"1,120",https://photos.zillowstatic.com/p_e/ISesq3r6s1pxrm0000000000.jpg
"$359,999","6960 108th St, Forest Hills, NY 11375",1,1,750,https://photos.zillowstatic.com/p_e/ISr1qajqo5k8z41000000000.jpg
"Est. $673,691","22023 101st Ave, Jamaica, NY 11429",6,3,"1,650",N/A
"$125,000","1522 New Haven Ave, Far Rockaway, NY 11691","2,097",N/A,N/A,N/A
$--,"38 Longdale St, Staten Island, NY 10314",4,12,"1,392",https://photos.zillowstatic.com/p_e/ISv4f327ta0hup1000000000.jpg
"$679,000","53 Sprague Ave, Staten Island, NY 10307",6,3,"2,276",https://photos.zillowstatic.com/p_e/ISnqmhgwe45rt61000000000.jpg
"$230,000","2171 Bragg St APT 5G, Brooklyn, NY 11229",2,1,800,https://photos.zillowstatic.com/p_e/ISn6jtj1adthra0000000000.jpg
"$700,000","115114 232nd St, Cambria Heights, NY 11411",3,2,"1,456",N/A
"$234,000","3555 Kings College Pl APT 5B, Bronx, NY 10467",2,1,"160,000",N/A
"$960,000","10423 220th St, Jamaica, NY 11429",5,3,"2,652","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,595,000","1601 3rd Ave APT 33K, New York, NY 10128",2,2,"1,159","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,199,000","15009 22nd Ave, Flushing, NY 11357",4,3,"1,998","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,118,000","4555 Henry Hudson Pkwy W #11101109, Bronx, NY 10471",6,4,"3,000","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
